,player_name,medal_type,event_name,name_of_sport,medal_icon,country_flag
957,L.Fabin,1, Up to 61 kg (M) ,Weightlifting,C:\Users\t480\Downloads\goldimage.svg,https://www.lemonde.fr/en/bucket/static/img/flags/cfi/3x2/CN.svg
958,T.Silachai,2, Up to 61 kg (M) ,Weightlifting,C:\Users\t480\Downloads\silverimage.svg,https://www.lemonde.fr/en/bucket/static/img/flags/cfi/3x2/TH.svg
959,H.Morris,3, Up to 61 kg (M) ,Weightlifting,C:\Users\t480\Downloads\bronzeimage.svg,https://www.lemonde.fr/en/bucket/static/img/flags/cfi/3x2/US.svg
960,O.Reeves,1, Up to 71 kg (F) ,Weightlifting,C:\Users\t480\Downloads\goldimage.svg,https://www.lemonde.fr/en/bucket/static/img/flags/cfi/3x2/US.svg
961,M.Sánchez,2, Up to 71 kg (F) ,Weightlifting,C:\Users\t480\Downloads\silverimage.svg,https://www.lemonde.fr/en/bucket/static/img/flags/cfi/3x2/CO.svg
962,A.Palacios Dajo,3, Up to 71 kg (F) ,Weightlifting,C:\Users\t480\Downloads\bronzeimage.svg,https://www.lemonde.fr/en/bucket/static/img/flags/cfi/3x2/EC.svg
963,R.Juniansyah,1, Up to 73 kg (M) ,Weightlifting,C:\Users\t480\Downloads\goldimage.svg,https://www.lemonde.fr/en/bucket/static/img/flags/cfi/3x2/ID.svg
964,W.Wichuma,2, Up to 73 kg (M) ,Weightlifting,C:\Users\t480\Downloads\silverimage.svg,https://www.lemonde.fr/en/bucket/static/img/flags/cfi/3x2/TH.svg
965,B.Andreev,3, Up to 73 kg (M) ,Weightlifting,C:\Users\t480\Downloads\bronzeimage.svg,https://www.lemonde.fr/en/bucket/static/img/flags/cfi/3x2/BG.svg
966,S.Koanda,1, Up to 81 kg (F) ,Weightlifting,C:\Users\t480\Downloads\goldimage.svg,https://www.lemonde.fr/en/bucket/static/img/flags/cfi/3x2/NO.svg
967,S.Ahmed,2, Up to 81 kg (F) ,Weightlifting,C:\Users\t480\Downloads\silverimage.svg,https://www.lemonde.fr/en/bucket/static/img/flags/cfi/3x2/EG.svg
968,N.P.Dajomes,3, Up to 81 kg (F) ,Weightlifting,C:\Users\t480\Downloads\bronzeimage.svg,https://www.lemonde.fr/en/bucket/static/img/flags/cfi/3x2/EC.svg
969,K.Nasar,1, Up to 81 kg (M) ,Weightlifting,C:\Users\t480\Downloads\goldimage.svg,https://www.lemonde.fr/en/bucket/static/img/flags/cfi/3x2/BG.svg
970,Y.Lopez,2, Up to 81 kg (M) ,Weightlifting,C:\Users\t480\Downloads\silverimage.svg,https://www.lemonde.fr/en/bucket/static/img/flags/cfi/3x2/CO.svg
971,A.Pizzolato,3, Up to 81 kg (M) ,Weightlifting,C:\Users\t480\Downloads\bronzeimage.svg,https://www.lemonde.fr/en/bucket/static/img/flags/cfi/3x2/IT.svg
972,G.Petriashvili,1, Up to 81 kg (M) ,Wrestling,C:\Users\t480\Downloads\bronzeimage.svg,https://www.lemonde.fr/en/bucket/static/img/flags/cfi/3x2/GE.svg
